method,pose,tx,ty,tz,exact,grid,diff,ms_base,ms_grid
pydock,28,-2.328,1.908,-0.602,-190.364673,-193.52982,-3.1651469999999904,7.3258,1024.5889
pydock,29,1.98,-2.287,-3.209,-365.103837,-368.18905,-3.08521300000001,6.0268,1029.743
pydock,30,-1.564,1.008,-6.45,-221.703965,-218.635834,3.0681310000000224,6.3878,1011.7575
cpydock,0,0.0,0.0,0.0,9.064345,8.255958,-0.8083869999999997,24.6375,1050.0516
cpydock,1,2.494,-2.851,-2.208,-18.342355,-17.299301,1.0430540000000015,21.6864,1048.5134
cpydock,2,-18.145,-1.982,-12.084,7.380975,7.321817,-0.059158000000000044,21.3275,1118.5837
cpydock,3,4.739,-4.75,-13.317,15.136946,17.544777,2.407831,21.8092,1134.3612
cpydock,4,-1.08,-0.59,23.956,-52.694522,-53.552357,-0.8578350000000015,22.2024,1326.8698
cpydock,5,4.69,1.493,4.73,1.651747,4.156134,2.5043869999999995,35.5932,1157.5064
cpydock,6,-0.246,1.486,3.166,-30.620205,-33.150171,-2.5299660000000017,22.928,1194.945
cpydock,7,3.704,-1.518,-0.543,-10.350207,-8.338993,2.011213999999999,22.7058,1210.2775
cpydock,8,2.228,1.098,-1.144,26.010232,26.633207,0.6229750000000003,23.3697,1233.862
cpydock,9,-16.055,-0.431,10.143,-1.439778,-4.902936,-3.4631580000000004,27.1858,1181.166
cpydock,10,-0.262,0.804,2.018,-37.946688,-40.827424,-2.880735999999999,23.329,1263.4427
cpydock,11,1.641,-3.143,-3.191,7.46782,7.419709,-0.04811099999999957,24.3599,1115.955
cpydock,12,4.066,3.593,4.868,-21.657115,-26.224006,-4.566890999999998,22.3794,1141.2134
cpydock,13,0.65,6.785,9.923,-52.737763,-51.687316,1.0504469999999984,23.5512,1193.0849
cpydock,14,-3.1,3.333,9.533,-21.931333,-19.033608,2.8977249999999977,22.3059,1204.9891
cpydock,15,-2.423,-5.175,0.131,-21.510845,-24.076851,-2.5660060000000016,31.5799,1274.7837
cpydock,16,-4.491,-8.856,11.659,-3.182814,0.460418,3.6432320000000002,23.2422,1210.5891
cpydock,17,-0.218,9.922,6.546,-3.642523,-6.275515,-2.632992,24.5973,1193.2388
cpydock,18,-0.955,0.542,5.352,-60.566856,-62.519265,-1.9524089999999958,23.5391,1195.676
cpydock,19,-11.187,6.316,10.29,-15.892214,-15.771285,0.12092899999999851,22.1245,1120.4592
cpydock,20,-0.554,1.853,7.064,-122.515611,-126.376116,-3.860504999999989,23.7901,1103.3762
cpydock,21,1.369,-5.247,3.232,-42.404545,-46.985828,-4.581282999999999,23.3107,1194.3824
cpydock,22,0.07,-5.888,11.303,-78.025417,-71.088769,6.936648000000005,23.0903,1108.9884
cpydock,23,-8.225,5.265,-11.431,4.529452,4.126494,-0.4029579999999999,21.326,1303.6771
cpydock,24,4.404,6.321,12.233,-43.358673,-46.321603,-2.96293,24.4601,1217.2111
cpydock,25,2.91,-14.49,-3.315,-4.160989,-5.551067,-1.390078,23.3228,1105.3138
cpydock,26,9.549,-16.666,0.679,-19.467816,-20.638676,-1.1708600000000011,22.1975,1148.8935
cpydock,27,5.917,21.6,-2.128,8.329525,8.650208,0.32068299999999894,27.039,1092.1387
cpydock,28,-2.328,1.908,-0.602,13.929025,10.763879,-3.165146,22.1653,1110.8859
cpydock,29,1.98,-2.287,-3.209,10.299526,7.214314,-3.0852120000000003,22.5321,1199.2477
cpydock,30,-1.564,1.008,-6.45,7.533935,10.602067,3.0681320000000003,23.0126,1141.403
sd,0,0.0,0.0,0.0,-2364375385.24356,-2364375385.24356,0.0,7.9344,7.4499
sd,1,2.494,-2.851,-2.208,-4220188891.378708,-4220188891.378708,0.0,7.804,6.6921
sd,2,-18.145,-1.982,-12.084,-0.0,-0.0,0.0,5.9217,5.6949
sd,3,4.739,-4.75,-13.317,-286299166.715166,-286299166.715166,0.0,5.5935,6.5008
sd,4,-1.08,-0.59,23.956,-8209084532.734874,-8209084532.734874,0.0,7.1971,7.9334
sd,5,4.69,1.493,4.73,-3873555351.430822,-3873555351.430822,0.0,7.9089,7.0386
sd,6,-0.246,1.486,3.166,-5019242351.233768,-5019242351.233768,0.0,7.4096,7.5036
sd,7,3.704,-1.518,-0.543,-2994828588.663107,-2994828588.663107,0.0,7.6779,6.7528
sd,8,2.228,1.098,-1.144,-491.203206,-491.203206,0.0,6.7829,5.99
sd,9,-16.055,-0.431,10.143,-140572167.019148,-140572167.019148,0.0,5.7053,6.3011
sd,10,-0.262,0.804,2.018,-14255267259.99087,-14255267259.99087,0.0,7.3972,7.6515
sd,11,1.641,-3.143,-3.191,-3407171333.017544,-3407171333.017544,0.0,7.4936,6.6073
sd,12,4.066,3.593,4.868,-4742933015.634307,-4742933015.634307,0.0,7.6277,6.9497
sd,13,0.65,6.785,9.923,-7409048595.435661,-7409048595.435661,0.0,8.234,7.239
sd,14,-3.1,3.333,9.533,-7107589375.037162,-7107589375.037162,0.0,6.6429,6.3516
sd,15,-2.423,-5.175,0.131,-6360607973.885489,-6360607973.885489,0.0,6.6244,7.436
sd,16,-4.491,-8.856,11.659,-2621087921.058147,-2621087921.058147,0.0,6.8029,7.7537
