method,pose,tx,ty,tz,exact,grid,diff
cpydock,24,4.404,6.321,12.233,-43.358673,-46.321603,-2.96293
cpydock,25,2.91,-14.49,-3.315,-4.160989,-5.551067,-1.390078
cpydock,26,9.549,-16.666,0.679,-19.467816,-20.638676,-1.1708600000000011
cpydock,27,5.917,21.6,-2.128,8.329525,8.650208,0.32068299999999894
cpydock,28,-2.328,1.908,-0.602,13.929025,10.763879,-3.165146
cpydock,29,1.98,-2.287,-3.209,10.299526,7.214314,-3.0852120000000003
cpydock,30,-1.564,1.008,-6.45,7.533935,10.602067,3.0681320000000003
sd,0,0.0,0.0,0.0,-2364375385.24356,-2364375385.24356,0.0
sd,1,2.494,-2.851,-2.208,-4220188891.378708,-4220188891.378708,0.0
sd,2,-18.145,-1.982,-12.084,-0.0,-0.0,0.0
sd,3,4.739,-4.75,-13.317,-286299166.715166,-286299166.715166,0.0
sd,4,-1.08,-0.59,23.956,-8209084532.734874,-8209084532.734874,0.0
sd,5,4.69,1.493,4.73,-3873555351.430822,-3873555351.430822,0.0
sd,6,-0.246,1.486,3.166,-5019242351.233768,-5019242351.233768,0.0
sd,7,3.704,-1.518,-0.543,-2994828588.663107,-2994828588.663107,0.0
sd,8,2.228,1.098,-1.144,-491.203206,-491.203206,0.0
sd,9,-16.055,-0.431,10.143,-140572167.019148,-140572167.019148,0.0
sd,10,-0.262,0.804,2.018,-14255267259.99087,-14255267259.99087,0.0
sd,11,1.641,-3.143,-3.191,-3407171333.017544,-3407171333.017544,0.0
sd,12,4.066,3.593,4.868,-4742933015.634307,-4742933015.634307,0.0
sd,13,0.65,6.785,9.923,-7409048595.435661,-7409048595.435661,0.0
sd,14,-3.1,3.333,9.533,-7107589375.037162,-7107589375.037162,0.0
sd,15,-2.423,-5.175,0.131,-6360607973.885489,-6360607973.885489,0.0
sd,16,-4.491,-8.856,11.659,-2621087921.058147,-2621087921.058147,0.0
sd,17,-0.218,9.922,6.546,-1280124547.687137,-1280124547.687137,0.0
sd,18,-0.955,0.542,5.352,-10650073154.278187,-10650073154.278187,0.0
sd,19,-11.187,6.316,10.29,-3473364579.459041,-3473364579.459041,0.0
sd,20,-0.554,1.853,7.064,-22571332843.948208,-22571332843.948208,0.0
sd,21,1.369,-5.247,3.232,-9724192995.458885,-9724192995.458885,0.0
sd,22,0.07,-5.888,11.303,-15037184686.182491,-15037184686.182491,0.0
sd,23,-8.225,5.265,-11.431,-0.0,-0.0,0.0
sd,24,4.404,6.321,12.233,-8296952487.816238,-8296952487.816238,0.0
sd,25,2.91,-14.49,-3.315,-3063054965.747036,-3063054965.747036,0.0
sd,26,9.549,-16.666,0.679,-4712621803.721681,-4712621803.721681,0.0
sd,27,5.917,21.6,-2.128,-429470319.687364,-429470319.687364,0.0
sd,28,-2.328,1.908,-0.602,-887340604.624313,-887340604.624313,0.0
sd,29,1.98,-2.287,-3.209,-2634479480.685681,-2634479480.685681,0.0
sd,30,-1.564,1.008,-6.45,-1052873579.065653,-1052873579.065653,0.0
vdw,0,0.0,0.0,0.0,-428.772414,-428.772414,0.0
vdw,1,2.494,-2.851,-2.208,-625.448317,-625.448317,0.0
vdw,2,-18.145,-1.982,-12.084,-0.0,-0.0,0.0
vdw,3,4.739,-4.75,-13.317,-15.072403,-15.072403,0.0
vdw,4,-1.08,-0.59,23.956,-628.346633,-628.346633,0.0
vdw,5,4.69,1.493,4.73,-484.260658,-484.260658,0.0
vdw,6,-0.246,1.486,3.166,-581.495677,-581.495677,0.0
vdw,7,3.704,-1.518,-0.543,-536.89635,-536.89635,0.0
vdw,8,2.228,1.098,-1.144,-8.329372,-8.329372,0.0
vdw,9,-16.055,-0.431,10.143,-31.168285,-31.168285,0.0
vdw,10,-0.262,0.804,2.018,-1119.420395,-1119.420395,0.0
vdw,11,1.641,-3.143,-3.191,-419.724829,-419.724829,0.0
vdw,12,4.066,3.593,4.868,-668.804808,-668.804808,0.0
vdw,13,0.65,6.785,9.923,-914.134404,-914.134404,0.0
vdw,14,-3.1,3.333,9.533,-549.896757,-549.896757,0.0
vdw,15,-2.423,-5.175,0.131,-778.922714,-778.922714,0.0
vdw,16,-4.491,-8.856,11.659,-541.533824,-541.533824,0.0
vdw,17,-0.218,9.922,6.546,-359.072451,-359.072451,0.0
vdw,18,-0.955,0.542,5.352,-1149.483618,-1149.483618,0.0
vdw,19,-11.187,6.316,10.29,-311.252491,-311.252491,0.0
vdw,20,-0.554,1.853,7.064,-1955.718141,-1955.718141,0.0
vdw,21,1.369,-5.247,3.232,-1145.902318,-1145.902318,0.0
vdw,22,0.07,-5.888,11.303,-1569.257573,-1569.257573,0.0
vdw,23,-8.225,5.265,-11.431,-0.0,-0.0,0.0
vdw,24,4.404,6.321,12.233,-675.710045,-675.710045,0.0
vdw,25,2.91,-14.49,-3.315,-338.554799,-338.554799,0.0
vdw,26,9.549,-16.666,0.679,-473.782346,-473.782346,0.0
vdw,27,5.917,21.6,-2.128,-45.970756,-45.970756,0.0
vdw,28,-2.328,1.908,-0.602,-232.918715,-232.918715,0.0
vdw,29,1.98,-2.287,-3.209,-425.617395,-425.617395,0.0
vdw,30,-1.564,1.008,-6.45,-276.134421,-276.134421,0.0
pisa,0,0.0,0.0,0.0,-0.0,-0.0,0.0
pisa,1,2.494,-2.851,-2.208,-0.0,-0.0,0.0
pisa,2,-18.145,-1.982,-12.084,-0.0,-0.0,0.0
pisa,3,4.739,-4.75,-13.317,-0.0,-0.0,0.0
pisa,4,-1.08,-0.59,23.956,-0.0,-0.0,0.0
pisa,5,4.69,1.493,4.73,-0.0,-0.0,0.0
pisa,6,-0.246,1.486,3.166,-0.0,-0.0,0.0
pisa,7,3.704,-1.518,-0.543,-0.0,-0.0,0.0
pisa,8,2.228,1.098,-1.144,-0.0,-0.0,0.0
pisa,9,-16.055,-0.431,10.143,-0.0,-0.0,0.0
pisa,10,-0.262,0.804,2.018,-0.0,-0.0,0.0
pisa,11,1.641,-3.143,-3.191,-0.0,-0.0,0.0
pisa,12,4.066,3.593,4.868,-0.0,-0.0,0.0
pisa,13,0.65,6.785,9.923,-0.0,-0.0,0.0
pisa,14,-3.1,3.333,9.533,-0.0,-0.0,0.0
pisa,15,-2.423,-5.175,0.131,-0.0,-0.0,0.0
pisa,16,-4.491,-8.856,11.659,-0.0,-0.0,0.0
pisa,17,-0.218,9.922,6.546,-0.0,-0.0,0.0
pisa,18,-0.955,0.542,5.352,-0.0,-0.0,0.0
pisa,19,-11.187,6.316,10.29,-0.0,-0.0,0.0
pisa,20,-0.554,1.853,7.064,-0.0,-0.0,0.0
pisa,21,1.369,-5.247,3.232,-0.0,-0.0,0.0
pisa,22,0.07,-5.888,11.303,-0.0,-0.0,0.0
pisa,23,-8.225,5.265,-11.431,-0.0,-0.0,0.0
pisa,24,4.404,6.321,12.233,-0.0,-0.0,0.0
pisa,25,2.91,-14.49,-3.315,-0.0,-0.0,0.0
pisa,26,9.549,-16.666,0.679,-0.0,-0.0,0.0
pisa,27,5.917,21.6,-2.128,-0.0,-0.0,0.0
pisa,28,-2.328,1.908,-0.602,-0.0,-0.0,0.0
pisa,29,1.98,-2.287,-3.209,-0.0,-0.0,0.0
pisa,30,-1.564,1.008,-6.45,-0.0,-0.0,0.0
sipper,0,0.0,0.0,0.0,-0.0,-0.0,0.0
sipper,1,2.494,-2.851,-2.208,-0.0,-0.0,0.0
sipper,2,-18.145,-1.982,-12.084,-0.0,-0.0,0.0
sipper,3,4.739,-4.75,-13.317,-0.0,-0.0,0.0
sipper,4,-1.08,-0.59,23.956,-0.0,-0.0,0.0
sipper,5,4.69,1.493,4.73,-0.0,-0.0,0.0
sipper,6,-0.246,1.486,3.166,-0.0,-0.0,0.0
sipper,7,3.704,-1.518,-0.543,-0.0,-0.0,0.0
sipper,8,2.228,1.098,-1.144,-0.0,-0.0,0.0
sipper,9,-16.055,-0.431,10.143,-0.0,-0.0,0.0
sipper,10,-0.262,0.804,2.018,-0.0,-0.0,0.0
sipper,11,1.641,-3.143,-3.191,-0.0,-0.0,0.0
sipper,12,4.066,3.593,4.868,-0.0,-0.0,0.0
sipper,13,0.65,6.785,9.923,-0.0,-0.0,0.0
sipper,14,-3.1,3.333,9.533,-0.0,-0.0,0.0
sipper,15,-2.423,-5.175,0.131,-0.0,-0.0,0.0
sipper,16,-4.491,-8.856,11.659,-0.0,-0.0,0.0
sipper,17,-0.218,9.922,6.546,-0.0,-0.0,0.0
sipper,18,-0.955,0.542,5.352,-0.0,-0.0,0.0
sipper,19,-11.187,6.316,10.29,-0.0,-0.0,0.0
sipper,20,-0.554,1.853,7.064,-0.0,-0.0,0.0
sipper,21,1.369,-5.247,3.232,-0.0,-0.0,0.0
sipper,22,0.07,-5.888,11.303,-0.0,-0.0,0.0
sipper,23,-8.225,5.265,-11.431,-0.0,-0.0,0.0
sipper,24,4.404,6.321,12.233,-0.0,-0.0,0.0
sipper,25,2.91,-14.49,-3.315,-0.0,-0.0,0.0
sipper,26,9.549,-16.666,0.679,-0.0,-0.0,0.0
sipper,27,5.917,21.6,-2.128,-0.0,-0.0,0.0
sipper,28,-2.328,1.908,-0.602,-0.0,-0.0,0.0
sipper,29,1.98,-2.287,-3.209,-0.0,-0.0,0.0
sipper,30,-1.564,1.008,-6.45,-0.0,-0.0,0.0
tobi,0,0.0,0.0,0.0,-0.0,-0.0,0.0
tobi,1,2.494,-2.851,-2.208,-0.0,-0.0,0.0
tobi,2,-18.145,-1.982,-12.084,-0.0,-0.0,0.0
tobi,3,4.739,-4.75,-13.317,-0.0,-0.0,0.0
tobi,4,-1.08,-0.59,23.956,-0.0,-0.0,0.0
