method,pose,tx,ty,tz,exact,grid,diff,ms_base,ms_grid
mj3h,0,0.0,0.0,0.0,-0.0,-0.0,0.0,6.9833,7.1832
mj3h,1,2.494,-2.851,-2.208,-0.0,-0.0,0.0,6.4271,5.07
mj3h,2,-18.145,-1.982,-12.084,-0.0,-0.0,0.0,6.3605,6.7237
mj3h,3,4.739,-4.75,-13.317,-0.0,-0.0,0.0,6.0583,6.823
mj3h,4,-1.08,-0.59,23.956,-0.0,-0.0,0.0,5.8342,6.969
mj3h,5,4.69,1.493,4.73,-0.0,-0.0,0.0,5.8806,5.4096
mj3h,6,-0.246,1.486,3.166,-0.0,-0.0,0.0,6.5484,6.5886
mj3h,7,3.704,-1.518,-0.543,-0.0,-0.0,0.0,9.1733,6.2609
mj3h,8,2.228,1.098,-1.144,-0.0,-0.0,0.0,5.4244,7.3464
mj3h,9,-16.055,-0.431,10.143,-0.0,-0.0,0.0,7.432,7.1103
mj3h,10,-0.262,0.804,2.018,-0.0,-0.0,0.0,6.8313,5.8271
mj3h,11,1.641,-3.143,-3.191,-0.0,-0.0,0.0,6.6045,5.3941
mj3h,12,4.066,3.593,4.868,-0.0,-0.0,0.0,5.7578,6.586
mj3h,13,0.65,6.785,9.923,-0.0,-0.0,0.0,6.8167,6.9692
mj3h,14,-3.1,3.333,9.533,-0.0,-0.0,0.0,6.1612,7.8161
mj3h,15,-2.423,-5.175,0.131,-0.0,-0.0,0.0,6.9902,6.4511
mj3h,16,-4.491,-8.856,11.659,-0.0,-0.0,0.0,7.3943,6.0749
mj3h,17,-0.218,9.922,6.546,-0.0,-0.0,0.0,7.0398,7.8324
mj3h,18,-0.955,0.542,5.352,-0.0,-0.0,0.0,7.193,5.8574
mj3h,19,-11.187,6.316,10.29,-0.0,-0.0,0.0,5.6923,6.5703
mj3h,20,-0.554,1.853,7.064,-0.0,-0.0,0.0,5.9507,5.3553
mj3h,21,1.369,-5.247,3.232,-0.0,-0.0,0.0,7.3138,6.4845
mj3h,22,0.07,-5.888,11.303,-0.0,-0.0,0.0,6.4474,6.2523
mj3h,23,-8.225,5.265,-11.431,-0.0,-0.0,0.0,7.2872,7.619
mj3h,24,4.404,6.321,12.233,-0.0,-0.0,0.0,5.831,8.4403
mj3h,25,2.91,-14.49,-3.315,-0.0,-0.0,0.0,6.4521,5.5826
mj3h,26,9.549,-16.666,0.679,-0.0,-0.0,0.0,6.9732,5.5273
mj3h,27,5.917,21.6,-2.128,-0.0,-0.0,0.0,7.0455,7.1849
mj3h,28,-2.328,1.908,-0.602,-0.0,-0.0,0.0,6.4322,7.0018
mj3h,29,1.98,-2.287,-3.209,-0.0,-0.0,0.0,5.525,5.8182
mj3h,30,-1.564,1.008,-6.45,-0.0,-0.0,0.0,6.5296,7.0849
pydock,0,0.0,0.0,0.0,-364.881264,-366.39561,-1.514345999999989,8.6174,273.2903
pydock,1,2.494,-2.851,-2.208,-567.148266,-567.816859,-0.6685929999999871,10.016,277.3781
pydock,2,-18.145,-1.982,-12.084,7.380975,6.070604,-1.310371,8.4915,274.4758
pydock,3,4.739,-4.75,-13.317,15.687384,19.096584,3.4092000000000002,7.6796,269.9462
pydock,4,-1.08,-0.59,23.956,-588.172918,-590.340572,-2.1676539999999704,10.343,278.1272
pydock,5,4.69,1.493,4.73,-422.480235,-418.901924,3.578310999999985,8.2141,278.6985
pydock,6,-0.246,1.486,3.166,-534.337672,-534.742092,-0.40441999999995915,9.9514,275.1651
pydock,7,3.704,-1.518,-0.543,-482.340658,-477.311614,5.029043999999999,8.7815,267.3836
pydock,8,2.228,1.098,-1.144,20.309763,25.079799,4.770036000000001,8.2422,264.3926
pydock,9,-16.055,-0.431,10.143,-21.531448,-23.674362,-2.1429139999999975,7.4877,266.3765
pydock,10,-0.262,0.804,2.018,-1031.89192,-1035.121755,-3.2298349999998663,8.9195,266.4103
pydock,11,1.641,-3.143,-3.191,-359.236592,-362.564123,-3.3275310000000218,7.4388,267.538
pydock,12,4.066,3.593,4.868,-608.87742,-617.191806,-8.314386000000013,8.7855,270.2121
pydock,13,0.65,6.785,9.923,-851.789178,-850.822801,0.9663769999999658,8.1324,279.8851
pydock,14,-3.1,3.333,9.533,-504.305645,-500.154183,4.151462000000038,8.1985,276.4444
pydock,15,-2.423,-5.175,0.131,-708.699859,-713.787729,-5.087870000000066,8.0746,322.2128
pydock,16,-4.491,-8.856,11.659,-477.749194,-471.444835,6.304358999999977,8.2748,280.0035
pydock,17,-0.218,9.922,6.546,-313.419687,-314.948188,-1.5285010000000057,9.048,275.3107
pydock,18,-0.955,0.542,5.352,-1069.445522,-1071.470113,-2.0245910000001004,9.699,284.7468
pydock,19,-11.187,6.316,10.29,-277.161075,-276.621306,0.5397689999999784,7.0743,271.433
pydock,20,-0.554,1.853,7.064,-1853.976299,-1856.337477,-2.361178000000109,12.3711,278.3014
pydock,21,1.369,-5.247,3.232,-1049.529839,-1055.691629,-6.161789999999883,7.736,331.5006
pydock,22,0.07,-5.888,11.303,-1459.041431,-1449.440993,9.600438000000167,8.8407,272.8552
pydock,23,-8.225,5.265,-11.431,4.529452,4.235381,-0.29407099999999975,7.3891,268.8432
pydock,24,4.404,6.321,12.233,-628.812853,-633.452774,-4.639920999999958,8.9957,281.4762
pydock,25,2.91,-14.49,-3.315,-298.96764,-301.515338,-2.5476979999999685,7.9652,266.8434
pydock,26,9.549,-16.666,0.679,-430.705698,-435.093703,-4.388005000000021,8.8253,270.0932
pydock,27,5.917,21.6,-2.128,-28.760745,-28.430468,0.3302769999999988,7.2965,266.2754
pydock,28,-2.328,1.908,-0.602,-190.364673,-193.998587,-3.633913999999976,8.8999,269.5448
pydock,29,1.98,-2.287,-3.209,-365.103837,-371.368759,-6.264922000000013,7.4759,311.464
pydock,30,-1.564,1.008,-6.45,-221.703965,-217.654711,4.049254000000019,8.391,271.4735
cpydock,0,0.0,0.0,0.0,9.064345,7.549998,-1.514346999999999,27.8747,289.9737
cpydock,1,2.494,-2.851,-2.208,-18.342355,-19.010948,-0.6685929999999978,25.3281,288.2533
cpydock,2,-18.145,-1.982,-12.084,7.380975,6.070604,-1.310371,25.2224,290.9504
cpydock,3,4.739,-4.75,-13.317,15.136946,18.546146,3.4092000000000002,25.1508,288.3836
cpydock,4,-1.08,-0.59,23.956,-52.694522,-54.862176,-2.167653999999999,26.424,293.7186
cpydock,5,4.69,1.493,4.73,1.651747,5.230058,3.5783109999999994,23.6572,284.177
cpydock,6,-0.246,1.486,3.166,-30.620205,-31.024625,-0.4044200000000018,25.9657,288.8093
cpydock,7,3.704,-1.518,-0.543,-10.350207,-5.321163,5.029043999999999,25.5548,284.6431
cpydock,8,2.228,1.098,-1.144,26.010232,30.780268,4.770036000000001,24.8731,279.4145
cpydock,9,-16.055,-0.431,10.143,-1.439778,-3.582692,-2.142914,24.3299,292.3881
cpydock,10,-0.262,0.804,2.018,-37.946688,-41.176523,-3.2298350000000013,25.9925,288.2431
cpydock,11,1.641,-3.143,-3.191,7.46782,4.140289,-3.3275309999999996,24.4088,286.0025
cpydock,12,4.066,3.593,4.868,-21.657115,-29.9715,-8.314384999999998,25.2461,287.2233
cpydock,13,0.65,6.785,9.923,-52.737763,-51.771386,0.9663770000000014,25.5864,280.5902
