method,pose,tx,ty,tz,exact,grid,diff
pydock,20,-0.554,1.853,7.064,-1853.976299,-1856.337477,-2.361178000000109
pydock,21,1.369,-5.247,3.232,-1049.529839,-1055.691629,-6.161789999999883
pydock,22,0.07,-5.888,11.303,-1459.041431,-1449.440993,9.600438000000167
pydock,23,-8.225,5.265,-11.431,4.529452,4.235381,-0.29407099999999975
pydock,24,4.404,6.321,12.233,-628.812853,-633.452774,-4.639920999999958
pydock,25,2.91,-14.49,-3.315,-298.96764,-301.515338,-2.5476979999999685
pydock,26,9.549,-16.666,0.679,-430.705698,-435.093703,-4.388005000000021
pydock,27,5.917,21.6,-2.128,-28.760745,-28.430468,0.3302769999999988
pydock,28,-2.328,1.908,-0.602,-190.364673,-193.998587,-3.633913999999976
pydock,29,1.98,-2.287,-3.209,-365.103837,-371.368759,-6.264922000000013
pydock,30,-1.564,1.008,-6.45,-221.703965,-217.654711,4.049254000000019
cpydock,0,0.0,0.0,0.0,9.064345,7.549998,-1.514346999999999
cpydock,1,2.494,-2.851,-2.208,-18.342355,-19.010948,-0.6685929999999978
cpydock,2,-18.145,-1.982,-12.084,7.380975,6.070604,-1.310371
cpydock,3,4.739,-4.75,-13.317,15.136946,18.546146,3.4092000000000002
cpydock,4,-1.08,-0.59,23.956,-52.694522,-54.862176,-2.167653999999999
cpydock,5,4.69,1.493,4.73,1.651747,5.230058,3.5783109999999994
cpydock,6,-0.246,1.486,3.166,-30.620205,-31.024625,-0.4044200000000018
cpydock,7,3.704,-1.518,-0.543,-10.350207,-5.321163,5.029043999999999
cpydock,8,2.228,1.098,-1.144,26.010232,30.780268,4.770036000000001
cpydock,9,-16.055,-0.431,10.143,-1.439778,-3.582692,-2.142914
cpydock,10,-0.262,0.804,2.018,-37.946688,-41.176523,-3.2298350000000013
cpydock,11,1.641,-3.143,-3.191,7.46782,4.140289,-3.3275309999999996
cpydock,12,4.066,3.593,4.868,-21.657115,-29.9715,-8.314384999999998
cpydock,13,0.65,6.785,9.923,-52.737763,-51.771386,0.9663770000000014
cpydock,14,-3.1,3.333,9.533,-21.931333,-17.779871,4.151461999999999
cpydock,15,-2.423,-5.175,0.131,-21.510845,-26.598715,-5.087869999999999
cpydock,16,-4.491,-8.856,11.659,-3.182814,3.121545,6.304359
cpydock,17,-0.218,9.922,6.546,-3.642523,-5.171024,-1.5285009999999999
cpydock,18,-0.955,0.542,5.352,-60.566856,-62.591448,-2.0245919999999984
cpydock,19,-11.187,6.316,10.29,-15.892214,-15.352445,0.5397689999999997
cpydock,20,-0.554,1.853,7.064,-122.515611,-124.876789,-2.3611779999999953
cpydock,21,1.369,-5.247,3.232,-42.404545,-48.566335,-6.161790000000003
cpydock,22,0.07,-5.888,11.303,-78.025417,-68.42498,9.600437
cpydock,23,-8.225,5.265,-11.431,4.529452,4.235381,-0.29407099999999975
cpydock,24,4.404,6.321,12.233,-43.358673,-47.998593,-4.6399199999999965
cpydock,25,2.91,-14.49,-3.315,-4.160989,-6.708687,-2.5476980000000005
cpydock,26,9.549,-16.666,0.679,-19.467816,-23.855821,-4.388005
cpydock,27,5.917,21.6,-2.128,8.329525,8.659802,0.3302770000000006
cpydock,28,-2.328,1.908,-0.602,13.929025,10.295112,-3.6339129999999997
cpydock,29,1.98,-2.287,-3.209,10.299526,4.034605,-6.264921
cpydock,30,-1.564,1.008,-6.45,7.533935,11.58319,4.0492550000000005
sd,0,0.0,0.0,0.0,-2364375385.24356,-2364375385.24356,0.0
sd,1,2.494,-2.851,-2.208,-4220188891.378708,-4220188891.378708,0.0
sd,2,-18.145,-1.982,-12.084,-0.0,-0.0,0.0
sd,3,4.739,-4.75,-13.317,-286299166.715166,-286299166.715166,0.0
sd,4,-1.08,-0.59,23.956,-8209084532.734874,-8209084532.734874,0.0
sd,5,4.69,1.493,4.73,-3873555351.430822,-3873555351.430822,0.0
sd,6,-0.246,1.486,3.166,-5019242351.233768,-5019242351.233768,0.0
sd,7,3.704,-1.518,-0.543,-2994828588.663107,-2994828588.663107,0.0
sd,8,2.228,1.098,-1.144,-491.203206,-491.203206,0.0
sd,9,-16.055,-0.431,10.143,-140572167.019148,-140572167.019148,0.0
sd,10,-0.262,0.804,2.018,-14255267259.99087,-14255267259.99087,0.0
sd,11,1.641,-3.143,-3.191,-3407171333.017544,-3407171333.017544,0.0
sd,12,4.066,3.593,4.868,-4742933015.634307,-4742933015.634307,0.0
sd,13,0.65,6.785,9.923,-7409048595.435661,-7409048595.435661,0.0
sd,14,-3.1,3.333,9.533,-7107589375.037162,-7107589375.037162,0.0
sd,15,-2.423,-5.175,0.131,-6360607973.885489,-6360607973.885489,0.0
sd,16,-4.491,-8.856,11.659,-2621087921.058147,-2621087921.058147,0.0
sd,17,-0.218,9.922,6.546,-1280124547.687137,-1280124547.687137,0.0
sd,18,-0.955,0.542,5.352,-10650073154.278187,-10650073154.278187,0.0
sd,19,-11.187,6.316,10.29,-3473364579.459041,-3473364579.459041,0.0
sd,20,-0.554,1.853,7.064,-22571332843.948208,-22571332843.948208,0.0
sd,21,1.369,-5.247,3.232,-9724192995.458885,-9724192995.458885,0.0
sd,22,0.07,-5.888,11.303,-15037184686.182491,-15037184686.182491,0.0
sd,23,-8.225,5.265,-11.431,-0.0,-0.0,0.0
sd,24,4.404,6.321,12.233,-8296952487.816238,-8296952487.816238,0.0
sd,25,2.91,-14.49,-3.315,-3063054965.747036,-3063054965.747036,0.0
sd,26,9.549,-16.666,0.679,-4712621803.721681,-4712621803.721681,0.0
sd,27,5.917,21.6,-2.128,-429470319.687364,-429470319.687364,0.0
sd,28,-2.328,1.908,-0.602,-887340604.624313,-887340604.624313,0.0
sd,29,1.98,-2.287,-3.209,-2634479480.685681,-2634479480.685681,0.0
sd,30,-1.564,1.008,-6.45,-1052873579.065653,-1052873579.065653,0.0
vdw,0,0.0,0.0,0.0,-428.772414,-428.772414,0.0
vdw,1,2.494,-2.851,-2.208,-625.448317,-625.448317,0.0
vdw,2,-18.145,-1.982,-12.084,-0.0,-0.0,0.0
vdw,3,4.739,-4.75,-13.317,-15.072403,-15.072403,0.0
vdw,4,-1.08,-0.59,23.956,-628.346633,-628.346633,0.0
vdw,5,4.69,1.493,4.73,-484.260658,-484.260658,0.0
vdw,6,-0.246,1.486,3.166,-581.495677,-581.495677,0.0
vdw,7,3.704,-1.518,-0.543,-536.89635,-536.89635,0.0
vdw,8,2.228,1.098,-1.144,-8.329372,-8.329372,0.0
vdw,9,-16.055,-0.431,10.143,-31.168285,-31.168285,0.0
vdw,10,-0.262,0.804,2.018,-1119.420395,-1119.420395,0.0
vdw,11,1.641,-3.143,-3.191,-419.724829,-419.724829,0.0
vdw,12,4.066,3.593,4.868,-668.804808,-668.804808,0.0
vdw,13,0.65,6.785,9.923,-914.134404,-914.134404,0.0
